Username,Ulasan,Keterangan
Bili Bili,"Juni 2022 mengunjungi tempat ini, sebenarnya bagus tapi cukup inkonsisten untuk urusan kebersihannya. Ada sudut yang masih terlihat kotor, ada bagian yang terlihat cukup bersih. Makanan dan minuman yang dibawa masih boleh dibawa masuk, tapi …",2
vico chandra,"kebun binatang yg legendaris sejak jaman kolonial.. dulu terakhir kesini tahun 1992. dan terakhir kesini minggu lalu, ternyata sudah sangat jauh berubah. Alhamdulillah hewan-hewan sudah terlihat sehat (tidak seperti isu kemarin ketika …",2
Halimatus S,"Terimakasih sudah berbenah dengan cukup baik.
kondisi kandang dan hewan bersih cukup terawat tapi perlu ditingkatkan lagi.
• harga tiket 15rb/orang …",1
Della,"Syarat Memasuki Kebun Binatang Surabaya:
(Info dari internet 01/06/2022)
1. Pembayaran tiket masuk KBS: QRIS, Gopay, Dana, OVO, Shopeepay, Linkaja atau …",0
vivi pariyanti (Vivi),"KBS kini udah makin cantik banget, banyak spot foto dan tempatnya nyaman banget. …",1
dyndtsaurs,"Lokasi :
Cari di gmaps aja! …",0
Aimmatul Khoiroh,"Tempat menarik yang ramah anak untuk edukasi tentang hewan. Tempatnya bersih, tertata dan asri untuk pengunjung namun tidak untuk sebagian hewan seperti gajah, jerapah dll. Perlu diperhatikan lagi untuk tempat dan makanan hewannya. Dateng …",0
Niken Larasati,"Ke sini waktu liburan anak-anak sekolah, rameeeeee bgt dan agak kesiangan karena cari parkir full semua untuk mobil. Untuk yang pake mobil ke sini saran saya parkir di TIJ Joyoboyo (7k per mobil) dan di sana bisa lgsg beli tiket ke kbs di …",2
uii,"Kebun Binatang lumayan besar di Surabaya, harga tiket masuk 15.000 per orang, cuma skrg g bs tunai yah, pembayaran bs lwt shopee pay/LinkAja/Qris/MBanking lainnya.. …",0
Khusnur Rosyidah,"Hiburan murah buat anak biar bisa kenal satwa. Tiket weekdays nya 15rb.tutupnya jam 3.30 sore. kalo weekend saya lupa. Setahun 4x kesini weekdays terus. Heheh. Tempatkanya semakin bagus, bersih, banyak bgt spot buat foto2. Bbrpa kali di …",1
masgoeh,"Tempat untuk Refresh sejenak dr kesibukan atau aktifitas hari-hari kerja bersama keluarga, masukkan dr kami, area parkir sepeda motor harus lebih di perluas & ada keterangan atau info atau plakat di posisi akan masuk wil. KBS, sbb parkir …",2
Syifa Diah,"Bersih dan terawat, lumayan buat healing tipis2. Tiket masuk 15rb/orang(bisa pakai qris). Aquarium 30rb, Parkir speda motorr 10rb. Saranku bawa makanan dari rumah, Krn di dalam lumayan mahall",0
Siti Fatimah,"Berkunjung ke KBS hari Rabu, 10 Mei 2023. Naik kereta api dari Stasiun Kras turun di Stasiun Wonokromo dengan biaya 15k. Trus ke KBS jalan kaki kurang lebih 15 menitan, yaa kira2 1,5 km an sih. Trus tiba di depan KBS disambut patung ikonik …",0
Ifaikah Kalidin,"Pertama kali berkunjung bareng anak sm suami setelah 20 tahun lalu ke sini. Memorable banget. Tiket masuk murah, 15k/orang. Sistem pembelian dibagi menjadi dua, tunai & non tunai. Karena berkunjung di hari minggu yg rame banget, antrian …",0
Paramitalaras,"Awalnya sy pikir KBS ini tidak terawat, teryata bagusss loh. Binatangnya banyak, fasilitasnya juga lengkap, ada kantin dan musholah. Banyak pohon jadi adem di udara surbaya yang puanass bgt. Harga tiket masuk 15rb kl ga salah.. di luar …",1
Silvi N.Y,"Liburan kesini ketika libur Hari Raya Idul Fitri, sangat crowded Dan banyak orang, tapi tetap memadai di dalam, tempat istirahat mungkin bisa diperbanyak, para penjual makanan di dalam juga cukup banyak. Paling favorite membeli makan rusak …",2
Faisal Harun (Fais),"Kebun binatangnya bagus sekali, anak kami sangt senang ketika melihat hewan-hewan secara langsung dan nyata. …",1
Rahmi Amaliah,"Tiket mask 15.000
Naik unta 35.000
Tiket masuk aquarium 20.000 …",0
Nurul Patmawati,"Tempatnya bersih, sekitar 2 tahun lalu kesini masuk aquarium yg ikan2 gratis hehe. Sekarang bayar 20ribu kalo ndak salah. Untuk tiket masuk pastinya murah banget 15ribu. Ada banyak jajanan di dalem, klo mau lebih hemat bisa bekal siii. Tp di dalam banyak bgt jajanan hehee . Rekomended bgt",1
Mbak Ifa,"Binatangnya sudah jauh lebih terawat, sehat. Lokasi bersih, rindang, nyaman. Biaya masuk Rp 15.000 untuk dewasa dan anak diatas 85cm. …",1
POTRET KEHIDUPAN,"First Time KBS enter :

Tampilan dari luar biasa biasa aja sama pada umumnya kebun binatang namun yang …",2
Write With Afina,"Salah satu kebun binatang tertua di Indonesia yang masih bertahan sampai sekarang. KBS sudah melakukan banyak renovasi untuk kadang satwa dan bagian lainnya, sekarang juga sudah banyak spot-spot tempat foto, tempatnya tidak terlalu luas, …",1
izaaa,"Berangkat naik kereta api turun pasar turi kemudian grab ke kebun binatang yng lumayan dekat. Sampai di tempat lngsung beli tiket dan masuk, banyak sekali hewan² dan tempat yang cukup luas + asri. Hanya saja peta nya kurang memberi …",0
Ella Kurnia Oktaverina,"Tempat yang bagus untuk mengajak anak-anak kecil lebih mengenal flora dan fauna (khususnya satwa). Area cukup luas walau beberapa spot tidak terawat. Asyik banget buat piknik karena banyak pohon yang meneduhkan, meski yaaa namanya juga Surabaya, panas mah tetep 🤭 …",0
Ki Sungging,"Alhamdulillah, baru pertama kali mengajak cucu setelah masa pandemi.
Rupanya Kebun binatang setelah pandemi berbenah diri. Kebun binatang sekarang cukup bagus. Cocok untuk edukasi. Tidak kalah dengan tempat wisata yg lain. Dan …",1
Tiffani Istiqina,"Lama gak ke KBS, terakhir mampir kelas 6 SD 😅
Banyak spot foto nya sekarang.
Weekdays ke sini aja rame lho, apalagi weekend. …",1
Shan Ufuk Timur,"Tempatnya bagus, tiket 15rb, buka jam 8 tepat, luas, hewannya cukup banyak. Ada wisata airnya juga. Seru sih cuma gak ada transportasi di dalem buat keliling jadi buat yang bawa anak jangan lupa bawa strollernya.",1
Ferly_Erlin Santi,"HTM Week Day 20.000
Unt anak² usia 2th dan tinggi min 85 cm sudah dikenakan biaya. …",0
Nurul Fadila,"Kesini kemaren tanggal 9 bulan desember 2022 tepatnya hari jumat,jam 10 pagi niat hati nyenengin anak krn suami libur kerja,baru masuk aja sudah judess bagian tiket yg dekat parkir sepedah motor bilang pake uang pas ga ada kembalian,disini …",2
Chrysta Nahuwaiy,"After pandemic mungkin berdampak ya untuk tempat ini, but overall tempatnya bagus karena banyak binatang yang bisa kita lihat. Toilet disini berbayar Rp 2.000 tapi bersih dan wangi loh. Bintang2 disini tetap terawat loh, mantap!! Biaya masuk disini Rp 15.000 / orang dimana ketentuannya diatas 85cm tinggi badannya sudah berbayar ya.",1
Nurdiana S Setiawati,"Tempat Liburan bagi keluarga dengan harga terjangkau, kebersihan terjamin. Untuk saat ini kebum binatang Surabaya sudah banyak berubah, sudah lebih bersih,lebih tertata rapi dari sebelumnya. Dan bangunan²yang tahun 2022 masih dibangun …",1
Pasca Brawijayanti,"Baru tanggal 24 nopember 2022 kmrn ada kegiatan outing class anak dari PAUD Tunas Pelangi Bluru Kidul Sidoarjo ke KBS.
Maen seru-seruan krn guide dari travel yg seru n g bosenin, maen tangkap ikan dg …",1
Mahdi Satu Empat Lima Lima,"Sudah puluhan tahun saya tak berkunjung kesini. Dulu, waktu kecil kalau kesini mesti rombongan bareng keluarga. Sekarang, kesini juga bareng keluarga kecil saya. Sama istri, dan kedua anak saya. …",0
Reyhan,"Hewanya sudah banyak. Tapi untuk makananya terlalu mahal menurutku.
Ada zona anak gratis. Rame kalau sabtu minggu. Harga tiket masuk hari minggu 15.000. Okelah buat jalan"" Sama mengenal binatang / edukasi buat anak",0
Angela Prada,"Menurutku ini tempat hiburan keluarga / piknik kluarga   dan bs jadi bahan edukasi ke anak2, bahkan buat ke org dewasa sekalipun, masih banyak kan yg belum tau spesies hewan-hewan 😆 …",1
iim widdya,"Wisata yg cukup murah meriah.. tiket masuk 15K, harga camilan dan minuman mulai 8K, binatangnya mulai berkurang, harimau saya temui cuma ada 2, singa 1, untuk parkir r4 bisa di TIJ (saya masuk jam 09.30-14.00 kena 7K)",1
Rizky Anggari Putri,"Bonbin skrg bersih dan luas.. ada org jual cemilan jg dj dlm. HTM 15rb ya, klo masuk satwa laut byw lg 30rb
Naik unta 35rb ya hanya untuk anak2
Selamat berliburrrrr",1
Pery Yuanto,"Sebagai Wisata Edukasi untuk sikecil serta memperkenalkan salah satu icon surabaya. KBS atau biasa dikenal dengan BonBin. Harga Tiket Masuk 15rb,  usahakan siapkan uang pas jika tunai, atau via QRIS juga sudah bisa. …",1
Fitriani Intan Siswoyo,"Tempat wisata keluarga, cocok untuk mengajak anak bermain dan belajar. Tiket masuk 15.000, aquarium 35.000, wahana edutainment 25.000, feeding time 10.000, feeding jerapah 100.000/keluarga.",1
PLP Agnes Meilani,Sangat cocok untuk rekreasi bersama keluarga. Apalagi yang punya anak kecil pasti senang bisa bermain dan belajar tentang hewan. Banyak sekali koleksi binatang yang ada. Salah satunya jerapah ini. Sangat menggemaskan bukan. Mari bersama …,1
Wulan Dari,"perdana kesini stlh sekian lama... jauh beda bgt sama bonbin jaman dulu. yg skrg terawat bgt hewan2nya, banyak yg hewan2 yg masih baby nya jg kelihatan bgt kalau berkembang biak dgn baik dan sehat. tempatnya jg bersih dan prokes bgt. tiket …",1
Hudha,"Menjadikan salah satu tempat wajib kunjung saat berada di Surabaya, masuk 15k, dilarang membawa tikar, terdapat berbagai satwa, tersedia stand2 makanan, mushola, wc yng berbayar, ada juga kapal bebek air 35k untuk jenis 2 org,",0
Jossy,"Dulu banget kesini waktu masih kecil 😅
Sekarang kesini lagi, rasanya dah lupa sama yg dulu 🤣
Gak usah bayar 3,7jt buat lihat komodo, di sini cukup bayar 15rb dah bisa liat …",1
nisa,ini kebun binatang lejen bgt. sayang kebersihannya kurang mungkin faktor rame org. tiket masuknya murah cuman 15rb. didalam ada aquarium kecil juga itu bayar sekitar 20an rb  per org,2
Aginta Friska,"Kesini terakhir Maret 2022. Untuk ukuran kebun binatang, cukup oke. Koleksi hewan beragam. Mulai dari berbagai macam.unggas, mamalia, melata, sampai ada section khusus untuk bayi-bayi hewan. Kebersihan juga cukup oke didalam kandang (diluar …",1
Arvand Firmansyah,"Kebun Binatang Surabaya terletak di tengah tengah Kota Surabaya.
Aksesnya cukup mudah, hanya lahan parkir yang tidak begitu luas harus parkir di lahan parkir terminal wonokromo atau parkir liar sepanjang jalan. …",1
Aden Ayu,"Untuk pembelian karcis masuk pembayarannya NON TUNAI
Dan q bayar pakai app DANA
Didalam banyak yg jualan minuk makanan …",0
Nurul Falahah,"Tiket masuk 15.000
Parkir motor 5.000
Tiket masuk aquarium 20.000 …",0
Arif Fuddin Usman,"KEBUN BINATANG SURABAYA(KBS) atau Surabaya Zoo adalah salah satu kebun binatang yang populer di Indonesia dan terletak di Surabaya, Jawa Timur. …",0
Wilma Puspa Rani,"Waktu mau beli tiket sempet bingung karena g terima cash, tolong kedepannya disedian 2 loket yg melayani cash & non cash. Karena kemarin itu banyak yg ga punya apps untuk pembayaran non cash. Didalam mungkin bisa disedian lebih banyak …",2
Linda Alfiatus Afifah,"Alhamdulillah KBS masih bertahan selama pandemi ini. Terima kasih sudah merawat binatang2 ini dengan baik. Kadang kasian juga kalau ada hewannya di kandang sendirian, semoga mendapat teman =)",1
Yinna Nitami Anuru,"first time banget kesini after almost 20 years 😂 and amaze pol! skrg baguss, bersih, sejuk banget..
(+) dalamnya luas pol, ga kalah sm yang diluar kota, walking space nya oke jadi …",1
wp sarii,"Libur natal 2021
Harga tiket 15rb
Kbs lebih berwarna dr pada yg dulu, tenant makanan banyak gak perlu takut …",1
Marines Helmyna,"Jalan jalan disini seru sih, buat nge date bisa, family atau friends time juga bisa.
Pen saran bagian ticketing, tetep sediain buat yg tunai, kemaren banyak bgt yg …",1
Noraot,"Wisata edukasi di kota yang murah.. masuk hanya 15ribu & jk ingin masuk aquarium 30rb.
Tempat wisata sdh lbh baik dr sbelumnya, cocok utk kluarga, rindang banyak …",1
Putri Anggraini,"HTM Rp. 15.000/orang. Usahakan parkir mobilnya di dalam, karena di luar area KBS banyak orang yang nyuruh parkir di lain tempat dan bayarnya lebih mahal. Tempatnya luas, bersih, cocok untuk anak anak.",1
Mushiyung Ipputa,"Aku kesini kurleb 2 Tahun lalu... waktu itu masih musim covid tapi gk parah bgt... aku pesen tiket 1 hari sblmnya via website... tiketnya murah..
Kawasannya luas sekali.... berbagai binatang ada ... klo mau mliht hewan air perlu tiket tambhn lgi di area ujung belakang dkt pintu keluar....",1
RAZA,"Wisata keluarga murah meriah,. Kebun binatang legendaris,. Tiket cukup 15K , hari kerja cukup lenggang suasananya, fasilitas lengkap, di dalam ada cafe,
Suasanya di dalam adem, cuma ada bau tak sedap waktu di area burung,.. …",1
Syamrotul Fiqriyah,"Tempat wisata edukasi untuk anak. Mengenalkan anak pada jenis2 hewan. Harga tiket 15rb per orang. Anak dengan tinggi badan 85cm ke bawah bebas biaya masuk. Saran untuk para orang tua yang membawa anak kecil (balita) untuk membawa stroller, …",1
Adang Kosasih,Hutan di tengah kota yang berisi aneka flora dan fauna. Dengan tiket masuk yang murah kita bisa menikmati rindang nya pepohonan dan aneka satwa. Tapi sayang kurangnya kesadaran dari pengunjung banyak sampah dibuang sembarangan meskipun tempat sampah banyak.,0
Putri Agustin Wulandari,"Tips liburan hemat, Dari Bangil naik kereta ke KBS, cuma 5k per orang. Turun di Wonokromo bisa jalan kaki atau gocar aja, murah kok.
Tiket KBS hanya 15k. Jangan lupa bekal makanan, disini banyak tempat untuk kita …",1
yulipista kristanti,"Lebih bersih, rindang dan bagus daripada bbrp tahun lalu saya kesini. Makanan masih terjangkau,minuman yg mahal pas di dlm KBS.
Cuma kesini pas hri jumat jadi tidak bisa tunggang unta ataupun gajah. Jadi …",1
Jino Jiwan,"Rindang dan cukup menyejukkan suasana Surabaya yang terik. Banyak signage yang keliru, jadi perlu bertanya ke petugas tentang lokasi binatang tertentu. Kondisinya menurut salah seorang teman, sudah jauh lebih baik daripada dulu. Aroma kotoran binatang masih santer tercium. Ada fasilitas masjid yang mengadakan sholat Jumat.",1
Ayu Enggarini Christi (Jajuk),Dulu pernah kesini saat kecil. Skrg kesini sama anak prtma. Seneng bgt bisa ajak dia kesini. Tiket msuk 15k per org. Masuk aquarium bayr lgi ya 30k per org. Trs naik elektrik kek speda htu berbayar jga sewa ya. Tempat bersih adem. Ada foodcortnya jga. Lumayan lah ya bisa utk isi liburan,1
Budi Catur,"lama tidak di KBS dikarenakan pandemi, akhirnya kita berkunjung lagi...dan saya terkejut karena tempatnya sudah banyak berubah, lebih bagus dan lebih menyenangkan....maju terus KBS, tetaplah bersolek untuk kota surabaya",1
Zahrina Atikah,"Tempat wisata yg legend banget di surabaya. Sekarang hewannya sudah lumayan banyak, asri banget banyak tumbuhan, pepohonan, baguuuss sekarang. Cocok banget buat liburan bareng keluarga, sahabat, ataupun ayang hehe. Di dalem juga disediakan …",1
Dhimas Samudra,"Suasana Kebun binatang :

1. Tiket masuk termasuk masih murah dan ga kemahalan. Cuma antrinya ga ada ampun …",1
Pramana Adi,"Cukup menarik untuk sebuah kebun binatang ditengah kota surabaya. Sangat sejuk didalam
Untuk fasilitas dan informasi sepatutnya di benahi dan dirawat sebaik …",0
desy fatma,"Parkirnya jauh harus ke terminal karena parkir area KBS sudah penuh
HTM cuma 15rb murah brg ..binatangnya banyak dan sehat2 semua
Bersih tempatnya …",1
fanni prasetyo,"Sejuk banyak pohon, satwanya lumayan lengkap. Harga makanan dan minuman relatif mahal, mending bawa bekal secukupnya ya. Kolam renang khusus anak2 bayar lagi 25000, kl mendampingi anak kecil ( ikut masuk) ortu bayar separuh 😅. Ukuran kolam …",0
Rika Santika,"Banyak kandang yang kosong dan beberapa kandang bau sekali. Waktu kami baru saja duduk di pujasera, ibu-ibu penjual langsung menyerbu dengan menu dan tawaran-tawaran, cukup mengesalkan. Positifnya, ada masjid yang menyelenggarakan Sholat Jum'at, banyak pohon rindang sehingga udara sejuk, dan harganya murah, Rp.15.000,- per orang.",0
Willy Sadikin,"Tempat wisata legendaris ini lokasinya berada ditengah kota Surabaya, dekat dengan terminal bus Joyoboyo, Jembatan Sawunggaling, dan tidak terlalu jauh dari situ ada tempat wisata taman yang terkenal di Surabaya yaitu Taman Bungkul. …",1
Rizky Anindha,Tiket msuk bisa bs dbayar tunai dan non tunai.jam.buka dr pagi hingga sore setiap hari.d dalam.ada fasilitas wc bersih.cafe.dan tmpt bersantai dg pohon rindang.semua sdh dtata rapi..bersih..u msuk aquarium dan ular ..hrs membeli karcis …,1
Siwi Yuli Purnamasari,"Kesini pas tanggal merah, meski datang jam 8 pagi ternyata sudah rame banget. Didalam kayak lautan manusia. Tiket 15rb per orang, bayi dg tinggi badan di atas 85cm udh di hitung 1 tiket. …",0
Ayu Afsani,Firstime ngajak anak ke KBS naik kereta pas nyampe masih pagi gak begtu rame jadi enak santai gtu pas mau keluar udh ramee emg hari minggu tp bersih tempat adem jga 😍🥰 …,1
Siti Aisyah,"Bagus untuk anak2.. menambah Wawasan untuk hewan2, tempat bersih, banyak toilet, ada masjidnya jg.. HTM 15rb per org. Aquarium 30k per org. Untuk KBSnya lumayan lah dgn harga segitu, kualitasnya jg nggak buruk2 amat. Yg bawa batita mendung …",1
Tamara Rizky,"Kebunnya luas banget. Banyak space luasnya diantara kandang2 hewan. Tapi sayang bgt ga boleh bawa tikar/karpet. Jadi ya duduknya lesehan di open space gitu. Varian hewannya jg ga sebanyak yg aku expect. Utk warung2 banyak,tempat sholat dan toilet jg ada. Saran dtg pas weekday aja. Kalo weekend ampun dah,rame banget 😭 …",2
Ghefira Nur Fatimah,"recomended bgtt!! 🙌🏻 dgn tiket masuk yg murah bisa ngeliat macam jenis hewann, jd itung"" bisa sambil belajar jg mengenai berbagai hewan yg jarang ditemui langsung. ditambah suasana yg rindang banyak pohon jadi ademm sejukkk. meskipun tempatnya ga terlalu besar tp cukupp capee jg kelilingnya tp seruuuuuu!! …",1
Mellany Octa,"Rekomendasi tempat liburan di Surabaya yang worth it. Tiket masuk cuma 15k + parkir sepeda motor 5k. Tiket bisa dibeli online atau on the spot (bisa bayar pake QRIS). Kalau weekend lumayan rame, tapi lucu aja soalnya banyak anak kecil. …",1
Firoh La,"Bagus, lumayan untuk edukasi anak-anak tapi sayang pas sholat sandal ayah saya hilang, tapi overal bagus rekomendasi, harga tiketnya 15k",0
Munarsiyah Pgri04,Alhamdulillah kegiatan kunjungan ke kebun binatang Surabaya hari ini berjalan lancar......km ucapakan terima kasih kepada semua pihak terkait serta sambutan dari petugas kebun bianatang Surabaya atas kunjungan kami😍😍😍 …,1
Nurma Dwiyanti,"Tempat rekreasi edukatif, mudah dijangkau transportasi umum atau publik. Tiket 15 ribu, terdapat aquarium dengan biota laut akan tetapi harus membeli tiket tambahan 30 ribu. Kebersihan oke, mulai halaman sampai toilet. Kemudahan papan informasi satwa dan rindang",1
Lintang Winda Ayu,"Dari stasiun wonokromo bisa jalan kaki
Htm 15k/org
Parkir 5k …",0
Catur Prasetio,"Baru kali ini kebun binatang yang bersih dan hewan2nya sangat terjamin kesehatannya, apa lagi menaiki gajah bersama keluarga tercinta sambil belajar mengenali alam liar seru bgt.",1
CreEamy BobBa,"Aku kesini pas weekday jam 9 jadi enak sepi kalo weekend rame bgt berdesakan. Kesini pas pembayaran tiket masuk lewat shopeepay, dana, ovo, qris, gopay.
Tiket masuk/orang 15rb, untuk anak yang tingginya diatas 85cm sudah bayar …",2
Marshanda Andriani Whisnutama,"Ternyata tempatnya sejuk bgt, bersih, nggak panas, bnyk pohonnya.. bnyk stan jualan jd ga perlu bingung klo lapar.. binatangnya banyak.. kmrn sy kesana htm 15 rb udah puas bgt.. saking lebarnya jd capek jln"" keliling terus😂😂.. ok lah soon kesini lg pstiii …",1
Fitri Kurnia,"Pas kemarin kesana nyesel banget ga beli tiket online. Antri pake banget. Utk pembelian tiket ada 3loket, loket 1 dan 2 utk pembelian secara tunai, loket 3 utk non-tunai. Kirain pembelian secara non-tunai will be easier and faster, tp …",2
Ika Handayani,"Kebun binatang sekarang tambah bagus beda sama yang dulu, jadi buat rekreasi keluarga ga bakal rugi, fasilitas umum toilet, masjid, kantin jajan tersedia semua. Tiket 15k per orang",1
DCV Oreo* Channel,"Sangat bagus, tenpat untuk edukasi sekaligus menyaksikan langsung beraneka macam hewan di dunia😄
Harga tiketnya lumayan murah, hanya saja kurang lengkap dan ketika mau masuk area fish/ikan ada biaya tambahan lagi😴 …",1
qurbaidh firdaus,"Sangat cocok sebagai tempat berlibur dengan keluarga. Bagi yang suka dengan binatang bisa jadi menjadi momen yang menyenangkan saat berkunjung. Tiket masuk cukup murah, walau nanti kayaknya ada biaya tambahan saat hendak masuk ke area …",1
Avi Arum Andini,"Murah tiket masuk hanya 15rb. Luas bgt. Capek sih kalau muter2 wkkw
Rate harga makanan di dalem juga murah 15rb an. Minuman juga 10rb an. Panas panas minum es emang seger ya. …",1
Nadya Ratri Pradipta,"Kebun binatang di Surabaya yang memiliki berbagai macam satwa dari reptil, burung, ikan, otter dan masih banyak lagi. Untuk tiket masuknya dikenakan 15.000/orang dan pembayaran wajib non tunai (QRIS atau brizzi). Tempatnya sangat bersih, …",1
Arifa Alfiyana,"dg harga 15rb aja ini worth it banget!, cuman kalo mau masuk akuarium bayar lagi 30rb jadi aku ga masuk, semoga bisa lebih murah lagi. binatangnya banyakin lagi dongg.",1
rahmad sakti,"Cukup Baik... Dan Bisa bayar
cashless jga.... Sayang  nya beberapa kandang tampak kosong.....kemana satwanya apakah mereka Jalan2 ke TP naik Suroboyo Bus 🤭🤭🤭Mngkin efek pandemi...... Benahi …",0
Dewi Malatika,Ke kebun binatang Surabaya pada saat tanggal 1 Januari 2022..datang sekitar pukul 13.00 dan suasana sangat ramai dan padat pengunjung meskipun begitu rata2 pengunjung pakai masker. …,0
Ryanisti,"Kelengkapan sauna nya banyak..
Tp sayang Rute nya bikin bingung..
Di area burung bau nya luar biasa.. …",0
Imelda Atika,"Tempat wisata edukasi yang cocok untuk mengenalkan anak dengan hewan-hewan secara langsung. Tempatnya luas, bersih, tertata kandangnya. Setiap kandang diberi tulisan informasi tentang hewan yang ada didalamnya sehingga pengunjung bisa …",1
Gendi Raharjo,"KBS sekarang jauh lebih bagus dan bersih dibanding dulu, walaupun ada beberapa spot yang masih terlihat kotor.
Beberapa kandang satwa terlihat agak jauh dan sepi, sehingga agak susah melihat …",1
Harits T,"Setelah beberapa tahun yang lalu terjadi penyelewengan & tidak terawatnya satwa yang ada, kini Kebun Binatang Surabaya menjadi salah satu wisata favorit masyarakat Surabaya. …",1
Eka Febrianty Ruung,"Tidak boleh membawa tikar, kamar mandi bayar, bawa anakanak sekolah jd bayar bolak balek. Banyak penjual mainan yg terlalu memaksa, tp skrng lebih bagus sih. Banyak spot fotonyaa, banyak tukang kebersihan jd lingkungan lumayan bersih yaa. Cuman ya namanya kebun binatang tetep baunya kurang sedap wkwk",2
Ayu Lidya,"Tempatnya bagus, sejuk, luas.
Binatangnya lumayan beragam,
Banyak pohon dan juga bunga yg ditanam, tempat terkesan lebih natural dan alami. …",1
budi setiawan,"tempat wisata yang nyaman buat keluarga sekaligus buat edukasi buat putra putri kita, tempatnya bersih sejuk dan juga lengkap utk wisata kulinernya juga ada, tempat ibadah, toilet, tenpat santai sambil menikmati pemandangan flora dan fauna pokoknya recommended banget deh.",1
mursalin,"🦊Binatang
Binatangnya banyak dan terawat. Yang saya suka adalah :
Komodo …",1
dini izzatur rahmani,"Ruameee bgt pengunjung nya 👍
Parkir mobil di TIJ aman tinggal nyebrang ke KBS dibantu petugas nya..
Tiket 15rb/orang, …",1
Ines yulistya,"kesini minggu, 12 juni 2022
kesini pagi sekitar 8.30an, enaknya g ngantri tiket, g enaknya satwa byk yg masi tidur/ngumpet/sibuk mkn di belakang …",0
Apriliyah Zuhro,Weekend sangat ramai. Hari minggu ada hiburan dan kebetulan saya waktu kesana bertepatan dengan imlek sehingga ada pertunjukan barongsai. Parkir di luar karena sangat ramai. Sangat cocok untuk dikunjungi bersama keluarga.,1
Sandi Wibisono,"Berangkat dari daerah Rungkut naik motor ikutin petunjuknya google maps sampai disini sekitar 30 menit lebih karena baru sekali kesini dan bukan penduduk Surabaya, pengalaman paling berkesan bersama keluarga main ke Bonbin Surabaya, yang …",1
Chiba,"Lokasinya sangat asri berada di pusat kota surabaya. Tempatnya dan satwanya terawat dengan baik. Kebersihannya juga selalu dijaga.
Untuk biaya masuknya cukup murah Rp.15000",1
Romy Yuhardiansyah,"Kesini tiba-tiba hujan, jadi ga sempat eksplor lebih lama. Dari beberapa tahun lalu, kbs udah berkembang cukup bagus. Ada beberapa wahana baru juga. Keren pokoknya.",1
Ririn Mutiarini,Tambah lama banyak kemajuan tempatnya lebih dingin dan teduh bnyk pepohonan jg tempat untuk istirahat makan bekal ataupun makan siang. Foodcourt jg ada berbagai jenis camilan dan makanan. Parkiran untuk motor jd agak jauh di terminal …,1
